account.accedi	Accedi
privacy.summary	<strong>In brief:</strong> AdOff does not collect personal browsing data. It does not track you. It does not sell data to anyone. The extension works entirely locally, with no account and no server communication.
problem.12_min	12 min
problem.tracker_invisibili	Tracker invisibili
ractive7d.ultimi_7gg	— ultimi 7gg
ravgdays.gg_media_vita	—gg media vita
retention_chart_grid.by_source_by_browser_by_plan	By Source 

 By Browser 

 By Plan 

 By Reason
row_2.cohort_chart_funnel	Cohort chart 

 Funnel
runinstallrate.uninstall	—% uninstall
salesletter.10.secondi.di.installazione	🕐 10 secondi di installazione
salesletter.adoff.rimane.invisibile	AdOff rimane invisibile.
salesletter.bait.element.detection	Bait element detection
salesletter.codice.verificabile.su.github	Codice verificabile su GitHub
salesletter.come.funziona	Come funziona
salesletter.dom.mutation.observer	DOM mutation observer
salesletter.domande.frequenti	Domande frequenti
salesletter.dubbi.risposte.dirette	Dubbi? Risposte dirette.
salesletter.fetch.di.test.ad.server	Fetch di test ad-server
salesletter.gdpr.compliant	🇪🇺 GDPR Compliant
salesletter.gli.elementi.esca.usati.per.rilevare.gli	Gli elementi "esca" usati per rilevare gli ad blocker vengono riconosciuti e falsificati.
salesletter.il.costo.nascosto.della.navigazione	Il costo nascosto della navigazione
salesletter.installa.in.10.secondi	🕐 Installa in 10 secondi
salesletter.intercetta.richieste.fetchxhr.ai.server.	Intercetta richieste fetch/XHR ai server di rilevamento. Risponde con dati falsi convincenti.
salesletter.intercettato	🟢 Intercettato
salesletter.la.soluzione	La soluzione
salesletter.la.trappola.dellanti.adblock	La trappola dell'anti-adblock
salesletter.mascherato	🟢 Mascherato
salesletter.nascosto	🟢 Nascosto
salesletter.niente.recensioni.gonfiate.solo.lavoro.v	Niente recensioni gonfiate. Solo lavoro vero.
salesletter.numeri.veri.misurabili.che.accadono.ora.	Numeri veri, misurabili, che accadono ora sul tuo browser.
salesletter.ogni.ora.di.navigazione.media.include.12	Ogni ora di navigazione media include 12 minuti di ads: banner, pre-roll video, pop-up, redirect. Tempo rubato. Banda rubata. Attenzione rubata.
salesletter.opera.nel.contesto.privilegiato.della.pa	Opera nel contesto privilegiato della pagina. Irrilevabile dall'isolamento standard degli estensioni.
salesletter.perché.altri.ad.blocker.falliscono	Perché altri ad blocker falliscono
salesletter.peso.inferiore.a.160.kb	Peso inferiore a 160 KB
salesletter.piani	Piani
salesletter.prima.e.dopo.adoff	Prima e dopo AdOff
salesletter.protezione.personalizzata	Protezione personalizzata
salesletter.prova.senza.rischi	Risk-free Free
salesletter.rilevamento.js.variables	Rilevamento JS variables
salesletter.rilevato	🔴 Rilevato
salesletter.spoofato	🟢 Spoofato
salesletter.ssl.https	🔒 SSL / HTTPS
salesletter.stripe.payments	🔐 Stripe Payments
salesletter.ultra.leggera	⚡ Ultra-leggera
salesletter.un.ad.blocker.che.i.siti.non.vedono	Un ad blocker che i siti non vedono
salesletter.una.persona.vera.dietro.adoff	Una persona vera dietro AdOff
salesletter.xhr.interception.test	XHR interception test
salesletter.zero.data.collection	👁️ Zero data collection
salesletter.zero.log	🔒 Zero log
section.19992499	Optional support
section.299	Free, no limits
section.attivazione	Attivazione
section.gestione_dispositivi	Gestione Dispositivi
section.il_piano_free_include_il_blocco_ann	The free ad blocking includes network-level blocking (144 rules) and CSS cosmetic hiding on every site.
section.piani	Piani
section.prezzo_founder_1999_per_i_primi_1	Those who support the project get a locked-for-life price, cancellable anytime.
section.pro_annuale	Free
section.pro_mensile	Free
section.s_offriamo_una_garanzia_di_rimbors	Yes. We offer a full money-back guarantee. No questions asked. Contact us via support.
section.s_ogni_nuova_installazione_avvia_a	Yes. Every new install activates all features on all your devices. No credit card required.
sidebar.admin	Admin
sidebar.administrator	Administrator
stat_label.giorni_guadagnati	Giorni Guadagnati
stat_label.vendite_totali	Vendite Totali
stat_panel.header_shadow_mode_notice_sta	Header 

 Shadow Mode notice 

 Stats row 

 Bucket filter 

 CTA per azioni collettive 

 Sfondo per i leak
stat_panel.header_with_filters_kpi_cards	Header with filters 

 KPI Cards 

 Charts row: Trend + Device 

 Keyword + Pages row 

 Countries + Search Appearances row 

 Opportunities (keywords ranking 5-20) 

 Sitemap + URL Inspector row 

 A
stealth.bait_spoofing	Bait Spoofing
stealth.fetch_interception	Fetch Interception
stealth.main_world_execution	MAIN World Execution
stealth.variable_spoofing	Variable Spoofing
success.accedi.allestensione.adoff	Accedi all'estensione AdOff
success.acquisto.confermato	Acquisto confermato
success.adoff	AdOff
success.apri.lemail.di.attivazione	Apri l'email di attivazione
success.elaborazione	Elaborazione...
success.errore	Errore
success.imposta.una.password	Imposta una password
success.non_vedi_lemail_controlla_spam_op	Non vedi l'email? Controlla spam oppure .
success.ti.abbiamo.inviato.unemail.con.il.link.d	Ti abbiamo inviato un'email con il link di attivazione.
success.usa.la.tua.licenza.su.fino.a.3.dispositi	Usa la tua licenza su fino a 3 dispositivi
success.verifica.il.tuo.ordine	Verifica il tuo ordine.
support.quick4.desc	Did you support the project and are not satisfied? Request a full refund via the form above. Processed within 48 hours.
tab.genera_licenza	Genera Licenza
tab.google_analisi	📊 Google Analisi
tab.licenze	Licenze
tab.retention	📊 Retention
tab.valida_key	Valida Key
terms.refund.box	<strong>Money-back guarantee:</strong> If you supported the project and are not satisfied, contact us via our <a href="support.html">support page</a> to request a full refund.
terms.s3.1	3.1 free
terms.s3.2	3.2 Optional Support
terms.s3.3	3.5 Project Support
terms.s3.free	3.1 free
terms.s3.legacy	3.3 Legacy Licenses
terms.s3.support	3.2 Voluntary Support
terms.summary.body	<strong>In brief:</strong> AdOff does not collect personal browsing data. It does not track you. It does not sell data to anyone. The extension works entirely locally, with no account and no server communication.
topbartitle.dashboard	Dashboard
ublock_origin_alternative.adoff.built.for.manifest.v3.from.day.one	AdOff: built for Manifest V3 from day one
ublock_origin_alternative.adoff.was.built.for.the.new.chrome.from.	AdOff was built for the new Chrome from day one. Full-strength blocking, ultra-light, private, free.
ublock_origin_alternative.does.ublock.origin.still.work.on.chrome.	Does uBlock Origin still work on Chrome in 2026?
ublock_origin_alternative.frequently.asked.questions	Frequently asked questions
ublock_origin_alternative.is.ublock.origin.lite.as.good.as.the.ori	Is uBlock Origin Lite as good as the original?
ublock_origin_alternative.its.a.reasonable.safety.net.but.it.is.no	It's a reasonable safety net, but it is not the full uBlock Origin experience, and Google has confirmed no workaround restores the original.
ublock_origin_alternative.switch.in.two.clicks.free	Switch in two clicks — free
ublock_origin_alternative.the.ublock.origin.alternative.for.chrome	The uBlock Origin alternative for Chrome
ublock_origin_alternative.what.changed.for.ad.blockers.on.chrome	What changed for ad blockers on Chrome
ublock_origin_alternative.whats.the.best.ublock.origin.alternative	What's the best uBlock Origin alternative for Chrome?
ublock_origin_alternative.why.ublock.origin.lite.isnt.the.same	Why uBlock Origin Lite isn't the same
uninstall.adoff	AdOff
uninstall.altro.motivo	Altro motivo
uninstall.ci.dispiace.vederti.andare	Ci dispiace vederti andare
uninstall.grazie	Grazie!
uninstall.ho.trovato.unalternativa.migliore	Ho trovato un'alternativa migliore
uninstall.rallentava.il.browser	Rallentava il browser
uninstall.troppo.complicato.non.capivo.free.vs.pro	Troppo complicato / non capivo Free vs Pro
uninstall.vedevo.ancora.le.pubblicità	Vedevo ancora le pubblicità
withdrawal.further.box	<strong>Beyond the legal minimum:</strong> We offer a full money-back guarantee. Contact us via our <a href="support.html">support page</a> to request a refund, no questions asked.
withdrawal.s5	5. Support Interruption
withdrawal.summary.body	<strong>In plain language:</strong> If you supported the project and changed your mind, you can request a full refund at any time, no questions asked. EU law gives you at least 14 days; we do not have a fixed limit.
